date, open, high, low, close, volume

2020-04-08,63.1300,65.3400,62.5400,64.4500,3348535
2020-04-07,64.7000,65.3100,61.6063,61.7500,2623551
2020-04-06,56.9500,60.6900,55.9000,60.1500,2633570
2020-04-03,52.3500,54.1800,51.8100,53.4800,2390237
2020-04-02,53.1300,55.0601,51.7110,52.7600,3328242
2020-04-01,54.7000,56.2400,53.0200,53.9000,3620784
2020-03-31,59.7300,60.7300,56.4000,57.0000,4804176
2020-03-30,61.7800,62.2300,58.4100,59.7500,4583748
2020-03-27,60.4900,64.7800,59.6500,62.4700,2589075
2020-03-26,61.7500,64.3600,60.5100,62.8800,2567438
2020-03-25,59.7600,64.9800,56.5300,60.5600,3706308
2020-03-24,54.1600,60.8600,53.2700,59.2000,3909201
2020-03-23,50.4800,53.0000,49.0100,50.6900,4753112
2020-03-20,55.6100,58.0000,51.5900,51.6500,3850481
2020-03-19,52.5100,59.2100,48.1050,54.7500,4186687
2020-03-18,55.2000,57.9499,49.9000,54.0000,5065934
2020-03-17,58.3200,61.2300,55.3200,60.3200,7009438
2020-03-16,54.0000,57.3900,49.0100,57.3000,5345956
2020-03-13,59.0000,61.4800,54.3900,61.0600,4209505
2020-03-12,59.9900,60.2400,55.2000,55.4000,3944398
2020-03-11,67.8400,68.0400,63.8400,65.3700,3635812
2020-03-10,69.3900,70.6100,66.4200,70.1200,2767088
2020-03-09,67.7400,69.7300,66.0600,66.8700,3958851
2020-03-06,75.3500,76.6900,72.0600,73.8200,3047378
2020-03-05,77.8300,79.3700,77.0100,77.8700,2771408
2020-03-04,78.5000,80.4800,77.0900,80.4100,3110285
2020-03-03,79.2000,81.4300,75.8200,76.5500,2731425
2020-03-02,76.2500,79.6200,74.3100,79.6100,3898259
2020-02-28,76.0600,77.9800,73.3400,75.6500,4756388
2020-02-27,79.5000,82.4700,78.0000,78.3100,5767901
2020-02-26,82.8300,84.8300,82.1500,82.1800,3465874
2020-02-25,86.6500,86.7599,81.6700,81.8900,2900836
2020-02-24,86.1700,88.0000,85.0500,85.5000,2880947
2020-02-21,91.3400,91.6200,89.6200,90.2600,1877751
2020-02-20,91.0800,91.9900,90.5700,91.9300,2212193
2020-02-19,90.5300,91.2300,90.2000,90.9400,1421836
2020-02-18,89.5100,90.7600,89.2000,90.1600,1544480
2020-02-14,91.0000,91.1450,89.8600,90.2100,1220727
2020-02-13,90.4800,91.3100,90.2000,90.4000,1725449
2020-02-12,90.2800,91.2000,90.0100,90.9300,1578006
2020-02-11,89.3800,90.0700,88.7200,89.8900,1799463
2020-02-10,86.8900,88.7300,86.8650,88.7000,2311445
2020-02-07,88.2500,88.7700,86.4800,87.0200,1987076
2020-02-06,90.0300,90.5780,88.5400,88.6400,2018215
2020-02-05,87.6800,89.8800,87.3600,89.5000,2315818
2020-02-04,86.5300,87.2400,86.4400,86.6900,1795582
2020-02-03,85.3900,86.3700,84.9100,85.2600,2170375
2020-01-31,86.6900,86.9600,84.5300,84.6900,2841712
2020-01-30,87.0500,87.5900,85.9050,87.1000,2048884
2020-01-29,89.3800,90.1000,88.1000,88.1200,2620555
2020-01-28,88.4000,89.3000,87.8200,88.8900,1458084
2020-01-27,87.7900,88.8300,87.3500,87.8000,1718247
2020-01-24,90.2700,90.2700,88.7700,89.4400,1209609
2020-01-23,88.8600,90.3100,88.3568,89.8200,1619995
2020-01-22,90.9300,91.1700,88.9600,89.2700,2003295
2020-01-21,89.4500,91.7000,89.4100,90.2400,3611193
2020-01-17,89.4500,90.3250,88.3500,89.9400,3402777
2020-01-16,89.5300,89.8100,88.5500,88.9500,2006955
2020-01-15,87.6000,89.8700,87.2900,88.9200,3783422
2020-01-14,90.9800,91.8300,90.2600,90.4700,1994309
2020-01-13,90.6400,91.2800,90.3600,91.2600,2137973
2020-01-10,89.5800,90.7400,89.3400,90.6500,2452157
2020-01-09,89.4300,89.4900,88.4300,89.3700,2225731
2020-01-08,88.2100,89.3700,87.8603,88.6500,2047031
2020-01-07,87.7900,89.2100,87.4600,88.4100,2041495
2020-01-06,86.4700,87.9200,86.2500,87.9100,2268445
2020-01-03,86.0700,87.6400,85.9100,87.1800,1713577
2020-01-02,88.3900,88.4400,86.9600,87.3100,2447254
2019-12-31,87.2500,88.1800,86.9450,87.8000,1735181
2019-12-30,87.0900,87.9600,86.5100,87.5700,1520427
2019-12-27,88.0000,88.1300,86.9500,87.0100,1309496
2019-12-26,87.9900,88.2000,87.3200,87.8500,1342719
2019-12-24,88.0100,88.5100,87.4308,87.9300,741790
2019-12-23,88.1700,88.3229,87.2500,87.6400,1822229
2019-12-20,89.2100,89.5000,87.5500,87.7300,3650240
2019-12-19,87.6200,88.8376,87.0500,88.6400,3244914
2019-12-18,86.6800,87.7600,86.5100,87.0100,3172690
2019-12-17,85.7500,86.4800,84.5500,86.3600,1967017
2019-12-16,85.0800,86.8600,85.0100,85.7900,3643110
2019-12-13,85.5000,85.6100,83.9600,84.7900,2645539
2019-12-12,83.9100,85.5500,83.5000,85.3500,2904660
2019-12-11,82.5800,84.0600,82.0200,83.8300,2281318
2019-12-10,82.5500,83.3700,82.2850,82.8800,2102514
2019-12-09,81.7300,83.6499,81.4700,82.5700,2790527
2019-12-06,81.2300,82.4900,81.2200,82.0500,3698969
2019-12-05,78.9100,80.3691,78.8900,80.3200,3005915
2019-12-04,78.6500,79.6000,78.3000,79.1800,3112727
2019-12-03,77.5000,78.1800,77.0500,78.1100,4227104
2019-12-02,81.0000,81.0000,78.3600,79.2000,4329739
2019-11-29,80.2700,81.4400,79.5100,80.6400,2962469
2019-11-27,82.2900,82.4800,80.1100,80.7400,6039510
2019-11-26,77.2000,83.6299,77.0400,81.5700,13916022
2019-11-25,73.2500,74.4900,72.1400,74.2500,4211533
2019-11-22,72.2900,72.8000,71.8900,72.6400,2404395
2019-11-21,74.3200,74.4950,72.0300,72.2100,3390297
2019-11-20,74.9200,75.3400,73.8000,74.1500,2188483
2019-11-19,76.4200,76.6050,74.8000,75.3600,2322809
2019-11-18,76.6600,77.6900,76.3000,77.2900,2561934
